date,open,high,low,close,vol
1988-03-03,608.53,619.36,608.53,613.01,"7,786,000"
1988-03-02,611.71,611.71,596.83,608.24,"7,437,000"
1988-02-29,633.29,633.29,612.35,612.35,"5,161,000"
1988-02-27,635.13,635.13,630.23,633.23,"4,221,000"
1988-02-26,656.83,656.83,635.1,635.1,"6,532,000"
1988-02-24,650.85,656.79,650.85,656.79,"9,559,000"
1988-02-23,658.34,658.34,650.85,650.85,"8,555,000"
1988-02-22,662.39,662.94,658.32,658.32,"8,077,000"
1988-02-20,668.53,668.53,662.73,663.03,"5,707,000"
1988-02-19,658.78,674.04,658.78,668.56,"10,934,000"
1988-02-17,648.95,658.75,648.95,658.75,"10,522,000"
1988-02-16,647.67,652.44,647.67,648.95,"10,394,000"
1988-02-15,641.15,651.66,641.15,647.56,"8,975,000"
1988-02-13,639.8,641.16,637.59,641.16,"5,464,000"
1988-02-12,640.91,650.37,639.88,639.88,"10,944,000"
1988-02-11,646.06,646.06,636.13,640.88,"10,310,000"
1988-02-10,655,655,646.16,646.16,"10,306,000"
1988-02-09,650.95,655,650.95,655,"14,655,000"
1988-02-08,633.86,653.56,633.86,651.42,"12,297,000"
1988-02-06,621.27,633.86,621.27,633.86,"8,899,000"
1988-02-05,632.28,632.28,620.37,621.26,"15,162,000"
1988-02-04,630.48,643.62,630.48,632.37,"16,042,000"
1988-02-03,640.8,640.8,622.92,630.41,"15,290,000"
1988-02-02,653.5,666.16,640.88,640.88,"19,434,000"
1988-02-01,633.63,655.1,633.63,653.51,"13,405,000"
1988-01-30,642.11,642.11,630.65,633.58,"11,583,000"
1988-01-29,633.42,647.98,633.42,642.11,"16,594,000"
1988-01-28,615.24,633.38,615.24,633.38,"16,469,000"
1988-01-27,602.32,615.24,602.3,615.24,"15,688,000"
1988-01-26,592.54,603.45,592.54,602.32,"14,919,000"
1988-01-25,589.84,592.6,588.59,592.6,"13,156,000"
1988-01-23,584.44,590.74,584.44,589.83,"10,200,000"
1988-01-22,586.95,586.95,576.72,584.44,"11,687,000"
1988-01-21,583.08,593.15,583.08,586.96,"15,370,000"
1988-01-20,576.18,583.07,576.18,583.07,"12,776,000"
1988-01-19,574.49,576.73,574.49,576.17,"12,373,000"
1988-01-18,589.76,589.76,574.49,574.49,"9,976,000"
1988-01-16,585.91,591.58,585.91,589.76,"9,192,000"
1988-01-15,578.06,585.89,578.06,585.89,"17,130,000"
1988-01-14,581.27,581.55,577.68,578.05,"15,128,000"
1988-01-13,571.32,581.27,571.32,581.27,"21,435,000"
1988-01-12,552.96,571.29,552.96,571.29,"18,086,000"
1988-01-11,548.17,552.76,546.01,552.76,"14,306,200"
1988-01-09,547.69,549.17,547.65,548.18,"12,361,000"
