종목코드,종목명,결산월,회계연도,자산총계,부채총계,자본총계,자본금,이익잉여금,매출액,영업이익,당기순이익,배당금,EPS,BPS,SPS,CEPS
A373220,LG에너지솔루션,12,2021,23764137000,15021764000,8742373000,100000000,337587000,17851906000,768470000,929868000,,3963,39831,89260,11908
A373220,LG에너지솔루션,12,2022,38299445000,17705683000,20593762000,117000000,1154518000,25598609000,1213719000,779826000,,3305,80052,110274,11297
A373220,LG에너지솔루션,12,2023,45437144000,21063635000,24373509000,117000000,2364496000,33745470000,1486360000,1637985000,,5287,86328,144211,16773
A373220,LG에너지솔루션,12,2024,60306791000,29340248000,30966543000,117000000,1397211000,25619585000,-904633000,338602000,,-4354,90240,109485,14463
A373220,LG에너지솔루션,12,2025,67147953000,37826277000,29321676000,117000000,332209000,23671759000,-300691000,80803000,,-4585,86391,101161,16120
A207940,삼성바이오로직스,12,2000,,,,,,,,,,,,,
A207940,삼성바이오로직스,12,2001,,,,,,,,,,,,,
A207940,삼성바이오로직스,12,2002,,,,,,,,,,,,,
A207940,삼성바이오로직스,12,2003,,,,,,,,,,,,,
A207940,삼성바이오로직스,12,2004,,,,,,,,,,,,,
A207940,삼성바이오로직스,12,2005,,,,,,,,,,,,,
A207940,삼성바이오로직스,12,2006,,,,,,,,,,,,,
A207940,삼성바이오로직스,12,2007,,,,,,,,,,,,,
A207940,삼성바이오로직스,12,2008,,,,,,,,,,,,,
A207940,삼성바이오로직스,12,2009,,,,,,,,,,,,,
A207940,삼성바이오로직스,12,2010,,,,,,,,,,,,,
A207940,삼성바이오로직스,12,2011,184347767,42341620,142006147,15000000,-7921853,,-12278892,-7922261,,-5196,47335,,-5099
A207940,삼성바이오로직스,12,2012,570278584.7,113896302,456382282.7,51362490,-76436799.12,,-83437488.41,-74388200.82,,-8070,41501,,-8407
A207940,삼성바이오로직스,12,2013,653425664.2,253329866.2,400095798.1,59435125,-205467303.1,43747005,-146354241.1,-140761507.1,,-11417,30987,3871,-11393
A207940,삼성바이오로직스,12,2014,1357295208,695181201,662114006,101833245,-287359112,105399040,-105197235,-83939089,,-4793,30760,6169,-3371
A207940,삼성바이오로직스,12,2015,,,,,,,,,,,,,
A207940,삼성바이오로직스,12,2016,,,,,,,,,,,,,
A207940,삼성바이오로직스,12,2017,,,,,,,,,,,,,
A207940,삼성바이오로직스,12,2018,,,,,,,,,,,,,
A207940,삼성바이오로직스,12,2019,,,,,,,,,,,,,
A207940,삼성바이오로직스,12,2020,6424201165,1825417993,4598783172,165412500,1953597729,1164776874,292786554.1,240974800,,3642,69505,17604,5814
A207940,삼성바이오로직스,12,2021,7970010787,2978908646,4991102141,165412500,2347187197,1568006928,537309408.1,393589467.7,,5949,75434,23698,8394
A207940,삼성바이오로직스,12,2022,16582050258,7597575863,8984474395,177935000,3145601436,3001295198,983627394.4,798056210.1,,11411,126233,42914,15819
A207940,삼성바이오로직스,12,2023,16046197209,6215704797,9830492412,177935000,4003292734,3694588767,1113680010,857691298.4,,12051,138119,51909,18932
A207940,삼성바이오로직스,12,2024,17336296350,6431620287,10904676062,177935000,5086608620,4547322176,1320052380,1083315886,,15221,153212,63890,23638
A207940,삼성바이오로직스,12,2025,11060741977,3609631329,7451110648,115727377.5,6870960681,4556971695,2069221267,1784352061,,26572,161142,67861,36008
A012450,한화에어로스페이스,12,2000,2158213751,1513868879,644344873,427500000,-8148295,1430898980,205527171,24429382,,273,8555,16736,1593
A012450,한화에어로스페이스,12,2001,1986877713,1459193869,527683844,427500000,-287095,1374108816,116664373,-81165837,-4,-957,6987,16071,321
A012450,한화에어로스페이스,12,2002,1903573791,1341144197,562429594,427500000,64335558,1460288642,90525548,38982484,,447,7479,17079,1730
A012450,한화에어로스페이스,12,2003,1800230633,1192847019,607383614,427500000,108369600,1753270945,100322693,44871764,,520,8085,20506,1876
A012450,한화에어로스페이스,12,2004,1817032925,1163325725,653707200,385000000,134326072,2079341455,57150907,26049999,,322,8438,26298,2186
A012450,한화에어로스페이스,12,2005,1735486107,1019252301,716233806,385000000,125865980,2554242862,116633411,87160370,-11550000,1122,9336,33172,2471
A012450,한화에어로스페이스,12,2006,1960010151,1105766587,854243565,385000000,259151577,3039950084,127692618,160933918,-22878432,2051,11100,39480,3444
A012450,한화에어로스페이스,12,2007,2164403514,1130015416,1034388098,385000000,427663041,3430801127,191181970,205248070,-31127344,2600,13385,44556,3722
A012450,한화에어로스페이스,12,2008,2400601632,1319537477,1081064155,385000000,465903508,2340638413,142462355,73618712,-38269148,956,14092,30398,1987
A012450,한화에어로스페이스,12,2009,2480012795,1397112584,1082900212,265650000,606344269,2660035837,204994262,171725316,-30686875,3106,20412,48112,4481
A012450,한화에어로스페이스,12,2010,2897943183,1627310528,1270632656,265650000,800465841.7,2924031630,213839116.9,234198429.3,-37229961,4394,23831,55035,6218
A012450,한화에어로스페이스,12,2011,3193514489,1568425490,1625088999,265650000,986259678,2947529053,88360243,229960610,-43169189,4319,30521,55478,6209
A012450,한화에어로스페이스,12,2012,3240938017,1663262864,1577675154,265650000,1043684766,2934702113,156044364.6,131323577.4,-27433843.73,2466,29661,55236,4036
A012450,한화에어로스페이스,12,2013,3434224084,1729443481,1704780602,265650000,1148223998,2912031373,122686310.5,133038653.8,-27548221,2494,32061,54810,4147
A012450,한화에어로스페이스,12,2014,3601728499,1958676390,1643052110,265650000,1007363286,2615618109,7861224.3,-118181869.5,-27016765.17,-2236,30891,49231,-722
A012450,한화에어로스페이스,12,2015,4107930434,1862814914,2245115520,265650000,1015736009,2613405506,-59560268.06,6244417.21,-606473.54,108,42224,49189,1591
A012450,한화에어로스페이스,12,2016,5652438366,3311673751,2340764615,265650000,1350027354,3518876665,150726416.2,345869269.1,-15939000,6498,44025,66231,8134
A012450,한화에어로스페이스,12,2017,5747573161,3566619940,2180953221,265650000,1291117994,4215471442,82908571.81,-47748078.68,,-913,41433,79812,1476
A012450,한화에어로스페이스,12,2018,7396686213,4760935791,2635750421,265650000,1373083858,4453176623,53177336,49251058.77,-494952.42,619,45535,85200,3905
A012450,한화에어로스페이스,12,2019,8708410720,5853055428,2855355292,265650000,1475931391,5264114375,165225934,162427318.3,-7714626.08,2555,48217,101726,7366
A012450,한화에어로스페이스,12,2020,9464815678,6475090147,2989725531,265650000,1581200189,5321444271,243947058.5,164739761.7,-17431420.59,2388,51329,104669,8072
A012450,한화에어로스페이스,12,2021,11045830631,7114272104,3931558527,265650000,1812009850,6415087932,383046885.9,301762016.3,-43285991.54,4989,57134,126705,10650
A012450,한화에어로스페이스,12,2022,15157301979,11233518425,3923783554,265650000,2020052078,6539605818,377215126.6,152027954.7,-35398588.4,3967,56612,129165,8084
A012450,한화에어로스페이스,12,2023,19542899926,14858674608,4684225318,265650000,2627417654,9359005981,691114682.4,976918345.8,-50569412,16147,69773,184851,25993
A012450,한화에어로스페이스,12,2024,43336873685,31972556938,11364316747,240405805,4746520391,11240121484,1731878825,2539873461,-119752317.9,46942,109864,229509,58619
A012450,한화에어로스페이스,12,2025,53953669604,37165484932,16788184672,270317005,5982735731,26702901249,3089320181,2201983086,-195060310,28573,188244,543072,62532
A105560,KB금융,12,2000,,,,,,,,,,,,,
A105560,KB금융,12,2001,,,,,,,,,,,,,
A105560,KB금융,12,2002,,,,,,,,,,,,,
A105560,KB금융,12,2003,,,,,,,,,,,,,
A105560,KB금융,12,2004,,,,,,,,,,,,,
A105560,KB금융,12,2005,,,,,,,,,,,,,
A105560,KB금융,12,2006,,,,,,,,,,,,,
A105560,KB금융,12,2007,,,,,,,,,,,,,
A105560,KB금융,12,2008,2.67549E+11,2.51487E+11,16062047000,1781758000,630941000,29729283000,627301000,609828000,,6686,44419,324832,9581
A105560,KB금융,12,2009,2.62168E+11,2.44057E+11,18111326000,1931758000,1177731000,30446099000,651285000,527494000,,1452,46206,81874,2747
